	page #	brand	url	product	price
66	2	 PUMA 	https://eshop.cataloghk.com/1pu37207302.html	UNISEX PUMA BASKET 90680	HK$299.00
67	2	 Converse 	https://eshop.cataloghk.com/150667557c.html	BIG KIDS CONVERSE CHUCK TAYLOR ALL STAR SUPERPLAY	HK$169.00
68	2	 Converse 	https://eshop.cataloghk.com/150150249c.html	UNISEX CONVERSE CHUCK TAYLOR ALL STAR CUTAWAY EVO SLIPPERS (NAVY)	HK$189.00
69	2	 Converse 	https://eshop.cataloghk.com/150667558c.html	BIG KIDS CONVERSE CHUCK TAYLOR ALL STAR SUPERPLAY SLIP	HK$169.00
70	2	 Converse 	https://eshop.cataloghk.com/150167922c.html	UNISEX CONVERSE JACK PURCELL HAPPY CAMPER GAME ROYAL	HK$249.00
71	2	 Converse 	https://eshop.cataloghk.com/150167696c.html	UNISEX CONVERSE CHUCK TAYLOR SIGNATURE CHUCK 70	HK$699.00
72	2	 Converse 	https://eshop.cataloghk.com/150168859c.html	UNISEX CONVERSE GORE-TEX UTILITY CHUCK 70 HIGH TOP	HK$699.00
73	2	 Converse 	https://eshop.cataloghk.com/150167330c.html	UNISEX CONVERSE CHINESE NEW YEAR CHUCK 70	HK$201.00
74	2	 Converse 	https://eshop.cataloghk.com/150168858c.html	UNISEX CONVERSE GORE-TEX UTILITY CHUCK 70 HIGH TOP	HK$699.00
75	2	 adidas 	https://eshop.cataloghk.com/108fw0711.html	BIG KIDS ADIDAS ORIGINALS SUPERSTAR 360 X	HK$529.00
76	2	 adidas 	https://eshop.cataloghk.com/108fv7230.html	BIG KIDS ADIDAS ORIGINALS SUPERSTAR 360 X	HK$529.00
77	2	 adidas 	https://eshop.cataloghk.com/108fv7231.html	BIG KIDS ADIDAS ORIGINALS SUPERSTAR 360 X	HK$529.00
78	2	 adidas 	https://eshop.cataloghk.com/108fv7233.html	LITTLE KIDS ADIDAS ORIGINALS SUPERSTAR 360 X	HK$429.00
79	2	 adidas 	https://eshop.cataloghk.com/108fv7232.html	LITTLE KIDS ADIDAS ORIGINALS SUPERSTAR 360 X	HK$429.00
80	2	 New Balance 	https://eshop.cataloghk.com/112m990nv5.html	MEN NEW BALANCE 990 V5 (NAVY)	HK$1,899.00
